Run	Critters Mean	Critters STD	Tron Mean	Tron STD
results10_10_0_10000_1	4	0	412.386667	18.337498
results10_10_0_10000_2	4.232	0.934974	907.774	1358.648457
results10_10_0_10000_3	4.794	1.784815	1238.078	1188.413958
results10_10_0_10000_4	5.344	2.386978	1202.306	1181.763443
results10_10_0_10000_5	6.606	3.703075	1115.262667	1071.381107
results10_10_0_10000_6	8.409	6.658733	1050.973333	1088.356407
results10_10_0_10000_7	11.44	22.439037	1049.11	1086.666993
results10_10_0_10000_8	15.326	22.109584	1045.664	1068.894689
results10_10_0_10000_9	22.658	36.933657	1011.166667	1046.128654
results10_10_0_10000_10	35.898	59.682071	1058.431	1111.477784
results11_11_0_10000_1	9777.204667	948.612928	3894.871	3563.585525
results11_11_0_10000_2	9723.687333	1156.475403	4946.988	3336.748657
results11_11_0_10000_3	9756.776	1088.1108	5482.967	2974.1425
results11_11_0_10000_4	9798.218	988.365434	5509.224	3019.958821
results11_11_0_10000_5	9738.776	1134.104356	5428.745	3007.388108
results11_11_0_10000_6	9758.46	1093.843056	5375.529	2986.411755
results11_11_0_10000_7	9729.054667	1181.231842	5235.9	2953.479529
results11_11_0_10000_8	9749.612667	1129.476303	5150.969	2995.426993
results11_11_0_10000_9	9761.82	1045.216598	4974.134	3006.327386
results11_11_0_10000_10	9709.229333	1186.333294	4602.618	2888.133499
results12_12_0_10000_1	4	0	12	0
results12_12_0_10000_2	4.516	1.390591	5874.487	3037.664748
results12_12_0_10000_3	5.002667	2.146002	5885.274	2979.837255
results12_12_0_10000_4	7.04	14.267389	5876.67	2982.093221
results12_12_0_10000_5	7.864	5.237064	5854.733	2957.324275
results12_12_0_10000_6	12.512	13.882334	5698.12	2987.79317
results12_12_0_10000_7	18.336	43.91342	5600.745	2999.522357
results12_12_0_10000_8	44.804	320.586827	5482.796	2989.488556
results12_12_0_10000_9	48.925333	97.884979	5568.721	2953.772223
results12_12_0_10000_10	81.461333	184.712123	5586.482	3018.571286
results13_13_0_10000_1	9808.135333	917.496583	6934.02	3098.038766
results13_13_0_10000_2	9760.871	1143.396249	6881.12	2939.700139
results13_13_0_10000_3	9790.878667	991.899479	7231.656	2736.848652
results13_13_0_10000_4	9816.608	895.952958	6927.57	2840.370963
results13_13_0_10000_5	9842.299	871.487941	7181.954	2739.294644
results13_13_0_10000_6	9668.312	1324.727399	6812.348	2877.902762
results13_13_0_10000_7	9799.912	1035.748771	7010.96	2754.34316
results13_13_0_10000_8	9796.366	963.848783	6856.816	2787.31267
results13_13_0_10000_9	9813.52	905.411028	7052.806	2917.240489
results13_13_0_10000_10	9788.598	1008.147009	6876.73	2830.89477
results14_14_0_10000_1	4.12	0.682349	5557.726	3151.383166
results14_14_0_10000_2	4.688	1.612035	6445.762	2822.175244
results14_14_0_10000_3	5.832	2.950894	6749.988	2815.94987
results14_14_0_10000_4	7.72	5.326312	6574.74	2821.276489
results14_14_0_10000_5	12.704	16.032479	6529.566	2788.219261
results14_14_0_10000_6	16.456	19.457031	6662.19	2736.670538
results14_14_0_10000_7	31.672	54.78909	6845.554	2800.612601
results14_14_0_10000_8	61.192	126.312957	6659.626	2770.308159
results14_14_0_10000_9	165.96	356.113103	6686.982	2837.13585
results14_14_0_10000_10	374.152	834.555772	6590.086	2859.840681
results15_15_0_10000_1	9827.294	951.971714	5850.24	3038.653459
results15_15_0_10000_2	9872.562	787.313896	6078.456	2750.640593
results15_15_0_10000_3	9789.332	1000.43126	6282.658	2755.028729
results15_15_0_10000_4	9784.852	1003.050456	6119.446	2762.91131
results15_15_0_10000_5	9876.008	788.969208	5951.34	2763.031104
results15_15_0_10000_6	9803.572	1029.852941	6060.08	2791.036767
results15_15_0_10000_7	9787.03	1042.17632	6046.922	2695.395945
results15_15_0_10000_8	9760.842	1088.235525	5588.698	2719.647998
results15_15_0_10000_9	9811.526	898.934083	5902.834	2675.615447
results15_15_0_10000_10	9819.534	939.269749	5766.438	2638.380994
